Abstract,Task 1
"Specifically, the user grouping problem is formulated as a many to one matching game.",METHODS
We prove the equivalence between the usual pixel-based version and the rearranged version of the filter.,RESULTS
"Using a game theoretic model, we show that given the proper incentive structure, we can effectively deter dishonest behavior on the part of the data outsourcing services with very few computational and monetary resources.",METHODS
"The proposed loss function addresses the problem of learning multiple tasks with heterogeneously labeled data, improving previous multi-task approaches.",RESULTS
"We demonstrate that the information theoretic dual of the Brascamp-Lieb inequality is a convenient setting for proving properties such as data processing, tensorization, convexity and Gaussian optimality.",RESULTS
"We investigate the advancements promised by drone-cells, and discuss the challenges associated with their operation and management.",METHODS
"Furthermore, we demonstrate the superiority of our model by successfully extending it to three challenging problems: video colorization, video inpainting, and future prediction.",RESULTS
"With high probability, the developed measures for subgaussian random matrices are bounded away from zero as long as the number of measurements is reasonably large.",RESULTS/CONCLUSIONS
We demonstrate the applicability of our technique on a LBS application.,METHODS/RESULTS
"Our experimental results show that our proposed method is able to more effectively learn navigation policies, and has better generalization capabilities in previously unseen environments.",RESULTS
"For rocky, terrestrial planets, the retrieved atmospheric composition can give insight into the surface fluxes of gaseous species necessary to maintain the stability of that atmosphere, which may in turn provide insight into the geological and/or biological processes active on the planet.",BACKGROUND
A between-subject experiment with 198 individuals was conducted.,METHODS
"We validate the approach on a real-world social media dataset, comprised of shallow personal hierarchies specified by many individual users, collected from the photosharing website Flickr.",METHODS
"This paper proposes a new approach to a novel value network architecture for the game Go, called a multi-labelled (ML) value network.",METHODS
The study indicates very low-test efficiency at requirements analysis phase and even lesser test efficiency at design phase of software development.,CONCLUSIONS
"Using a subspace approach, we develop a protocol enabling the estimation of the right (resp. left) singular vectors at the transmitter (resp. receiver) side; then, we adapt the projection approximation subspace tracking with deflation (PASTd) and the orthogonal Oja (OOJA) algorithms to our framework and obtain two channel estimation algorithms.",METHODS
Disentangling factors of variation has become a very challenging problem on representation learning.,BACKGROUND
"Our framework provides a basis for a variety of color-aware image operations, such as color harmonization and color transfer, and can be applied to videos.",RESULTS/CONCLUSIONS
"In this paper, we provide a current picture of the rapidly evolving quantum computing landscape by comparing four software platforms--Forest (pyQuil), QISKit, ProjectQ, and the Quantum Developer Kit--that enable researchers to use real and simulated quantum devices.",OBJECTIVES/METHODS
"Many computer vision applications, such as object recognition and segmentation, increasingly build on superpixels.",BACKGROUND
"Under normality and homoscedasticity assumptions, Linear Discriminant Analysis (LDA) is known to be optimal in terms of minimising the Bayes error for binary classification.",BACKGROUND
"Results indicate that, with relatively limited training data, the deep autoregressive neural network consisting of 27 convolutional layers is capable of providing an accurate approximation for the high-dimensional model input-output relationship.",RESULTS
"To assist in the collection process, a fully connected conditional random field is established to refine the temporal localization outputs.",OBJECTIVES/METHODS
"Experiments on both benchmark LETOR dataset and a large scale clickthrough data show that DeepRank can significantly outperform learning to ranking methods, and existing deep learning methods.",RESULTS
"Furthermore, we introduce a boosting algorithm based on random updates that is significantly faster than the conventional boosting methods and other variants of our proposed algorithms while achieving an enhanced performance gain.",OBJECTIVES
"The interactivity brings new challenges in addition to the classical rate-distortion trade-off, which considers only the compression performance and viewing quality.",BACKGROUND/OBJECTIVES
"The proof relies on a characterization of maximal correlation for partial sums due to Dembo, Kagan and Shepp.",METHODS
"In this way, our approach draws solutions from the continuous space of affine transformations in a manner that can be computed efficiently through constant-time edge-aware filtering and a proposed affine-varying CNN-based descriptor.",METHODS
We train networks under this framework by continuously adding new units while eliminating redundant units via an L_2 penalty.,METHODS
A number of sample problems and tutorials on how to use and adapt PonyGE2 have been developed.,RESULTS
"Considering these problems, we propose a novel graphical representation based HFR method (G-HFR) in this paper.",METHODS
"We evaluate our approach on two prevailing datasets, THUMOS'14 and ActivityNet.",OTHERS
Any real world dataset contains large number of attributes and objects.,BACKGROUND
Such systems are expected to provide data transmission rates in the order of multi-gigabits per second in order to satisfy the ever-increasing demand for high rate data communication.,BACKGROUND/OBJECTIVES
"The results show that representations learned from pre-trained networks for a task such as object recognition can be transferred, and used for facial expression recognition.",CONCLUSIONS
"Mixed-criticality systems combine real-time components of different levels of criticality, i.e. severity of failure, on the same processor, in order to obtain good resource utilisation.",BACKGROUND
"This can lead to major performance problems: if programmers write queries that yield nested results, then such systems typically either fail or generate a large number of queries.",BACKGROUND/OBJECTIVES
An even higher decrease of up to  [NUM] % is reported when the models are tested on silent speech.,RESULTS
We will release these embeddings publicly to help researchers in the development and enhancement of multilingual applications.,CONCLUSIONS
"This dataset grows continuously thanks to the users' feedback, and is publicly available for research.",RESULTS
"Numerical studies based on realistic data demonstrate that the total cost of the interconnected-microgrids operation can be reduced by up to  [NUM] % through energy trading, and an individual participating microgrid can achieve up to  [NUM] % reduction in its cost through energy trading.",RESULTS/CONCLUSIONS
An index is chosen to quantitatively measure the extent of controllability of given network.,METHODS
Analytical results show that the non-hierarchical approach can provide monotonic expected convergence of both drifts and offsets under broad conditions on the network topology and local clock update stepsize.,RESULTS
"In contrast, we use multi-scale temporal convolutions, and we reduce the complexity of 3D convolutions.",METHODS
"When a customer experiences an issue with the functioning of a technical service or a product, an expert user helps guide the customer through a set of steps comprising a troubleshooting procedure.",BACKGROUND
HF-hash gives 256 bits message digest and is as efficient as SHA-256.,BACKGROUND
Significance.,CONCLUSIONS
We also establish the soundness and fairness properties of our algorithm.,RESULTS
Our code will be made publicly available.,OTHERS
Conclusion: The frequency of application of modeling methods varies greatly.,CONCLUSIONS
We find that nearest neighbors achieve higher performance.,RESULTS/CONCLUSIONS
The use of this tool increases the reliability of the parameter sweep study thanks to the systematic bookkeping of job templates and respective job statuses.,RESULTS
"Regarding the human awareness (that can be defined as constraints associated with the robot's motion), we use a mixture of asymmetric Gaussian functions, to define the cost functions associated to each constraint.",METHODS
Research depends on the ability of independent validation of the presented results.,BACKGROUND/OBJECTIVES
"Along with this, we report a new kind of similarity pattern for the local clustering, which we call ""stretching similarity"", in this network.",RESULTS
The goal is to maximize the weighted sum rate of the system by jointly optimizing subcarrier pairing and power allocation on each subcarrier in each hop.,OBJECTIVES
In January 2015 we distributed an online survey about failures in robotics and intelligent systems across robotics researchers.,BACKGROUND
"When standby-power is additionally learned, the proposed solution surpasses the state-of-the-art performance for most of the benchmark cases.",RESULTS
Our algorithm uses a novel detection-guided optimization strategy that increases the robustness and speed of pose estimation.,METHODS
"We demonstrate this method on several structured and unstructured multi-view datasets, and show that it numerically outperforms state-of-the-art methods, and eliminates artifacts that result from visibility discontinuities",RESULTS
"Runtime interception is used sparingly, only to verify these predictions and to make any remaining policy checks.",METHODS
We present a visually-grounded language understanding model based on a study of how people verbally describe objects in scenes.,OBJECTIVES/METHODS
"Researchers have used correlated color space such as RGB, where modification to one channel affects the overall quality of stego-images, hence decreasing its suitability for steganographic algorithms.",BACKGROUND/OBJECTIVES
Accessing and searching massive academic publications that are distributed over several locations need large amount of computing resources to increase the system performance.,BACKGROUND
"This paper presents the results of a reproduction study of this technique using only openly available datasets (GigaWord, SemCore, OMSTI) and software (TensorFlow).",RESULTS
"In this paper, we treat it as an image verification problem -- whether a query image is taken at the same place as a reference image retrieved at the claimed GPS location.",OBJECTIVES
"In this paper, we examine the possibility of resolving capacity bottlenecks by exploiting multiple AWG free spectral ranges (FSRs), i.e., setting up multiple parallel connections between each pair of broadcast domains.",OBJECTIVES
The task is made more challenging by inherently sparse and incomplete tags.,OBJECTIVES
"In addition, we crawled 214,443 torrents representing 6,113,224 unique peers spread among 9,605 ASes.",METHODS
Euphonic conjunctions (sandhis) form a very important aspect of Sanskrit morphology and phonology.,BACKGROUND
The system is simulated and is found to give satisfactory results.,METHODS
Spectrum sensing is a fundamental operation in cognitive radio environment.,BACKGROUND
"When a sample is not big enough, we can use a truth function with parameters to produce the likelihood function, then train the truth function by the conditional sampling distribution.",METHODS
We formulate a rate-maximization problem in which the pilot spacing (in the time-frequency resource grid) and power is varied as a function of the time-varying channel statistics.,METHODS
Actual interaction structure is specified implicitly by the filter coefficients.,BACKGROUND
"Owing to the transnational nature of conflict, the article shows that national management strategies and foreign military interventions have profoundly affected the movement of Islamist groups.",CONCLUSIONS
"For instance a heterogeneously quantized version of modern networks such as AlexNet and MobileNet, with the right mix of 1-, 2- and 3-bit parameters that average to just  [NUM]  bits can equal the accuracy of homogeneous 2-bit versions of these networks.",OBJECTIVES
"Our analysis suggests that, unexpectedly, more CPs enter the market in a non-neutral regime where they pay ISPs, than without such payments.",RESULTS
"However, this Markov chain enumerates all possible reaction mixtures, rendering the analysis of the chain computationally demanding and often prohibitive in practice.",OBJECTIVES
"In this work, we focus on Urban Dictionary, a crowd-sourced online dictionary.",OBJECTIVES
"Results show that our models are effective to capture the sentiment shifting effect of sentiment, negation, and intensity words, while still obtain competitive results without sacrificing the models' simplicity.",RESULTS/CONCLUSIONS
"Our proposed structure alleviates these issues by obfuscating the firewall rules or policies themselves, then distributing the function of evaluating these rules across multiple servers.",OBJECTIVES/METHODS
The latter is because the link quality achievable at a White-Fi receiver is determined by not only its link gain to its transmitter but also by its link gains to TV transmitters and its transmitter's link gains to TV receivers.,BACKGROUND
"In this paper, we propose a novel method, called Smooth Neighbors on Teacher Graphs (SNTG).",OBJECTIVES
"We further show that the framework supports construction of a scientific knowledge graph, which we use to analyze information in scientific literature.",RESULTS
The proposed design focused on the trade-off between the speed and active silicon area for the chip implementation.,METHODS
"When compared to a video creator's total view count, the h-index and g-index better capture both productivity and impact in a single metric.",RESULTS
"Laconic judiciously gives up some of the work reduction potential to yield a low-cost, simple, and energy efficient design that outperforms other state-of-the-art accelerators.",OBJECTIVES
"Finally, the histogram of LDOP is computed over whole image to construct the descriptor.",METHODS
A set of tasks with random origin and destination with a multi-tier computational structure is distributed on a network modeled as a graph.,METHODS
"In this paper, we will understand that the development of the Digital Video Broadcasting to a Handheld (DVB-H) standard makes it possible to deliver live broadcast television to a mobile handheld device.",OBJECTIVES
Such analyses can provide quantitative insights about the evolution of general Chinese literature.,CONCLUSIONS
"Finally, the accuracy of the proposed map-aware model is assessed and compared with that offered by its map-unaware counterparts.",METHODS
Normalized graph cut (NGC) has become a popular research topic due to its wide applications in a large variety of areas like machine learning and very large scale integration (VLSI) circuit design.,BACKGROUND
A new approach of Cuckoo Search (CS) is used for selection of optimal threshold value.,METHODS
"Critically, instead of simply rejecting adversarial examples, we revise them to get their true labels.",METHODS
"Using CARP, we also demonstrate estimation using a disparate dataset that also has dependencies: real-world prediction precision for the global risk model based on the World Economic Forum Global Risk Report.",RESULTS
These detection and segmentation approaches are reviewed with an importance placed on enlightening the advantages and drawbacks of these methods for brain tumor detection and segmentation.,METHODS
"In this paper we audit the differences in behavior and outcomes between men and women on Stack Overflow, the most popular of these Q&A sites.",OBJECTIVES/METHODS
"Finally, all clusters are fed into the reduced multivariate polynomial model to predict the classes of data.",METHODS
"Additionally, we propose a novel descriptor, called the length-normalized path signature (LNPS), and apply it to online signature verification.",METHODS
"Agents' workspace is tessellated into the square grid on which any-angle moves are allowed, e.g. each agent can move into an arbitrary direction as long as this move follows the straight line segment whose endpoints are tied to the distinct grid elements.",METHODS
"The attention is learned on a training set of labeled samples to ensure that, given a text sequence, the relevant words are weighted higher than the irrelevant ones.",METHODS
"We consider the case where the number of nodes is fixed, but the presence of edges can vary over time.",OBJECTIVES
"Furthermore, we show its superiority on a newly collected multi-person parsing dataset (CIHP) including 38,280 diverse images, which is the largest dataset so far and can facilitate more advanced human analysis.",RESULTS
"These findings will provide a glimpse into the proprietary blackbox Knowledge Graph and what is meant by Google's mission to ""organize the world's information and make it universally accessible and useful"".",RESULTS
Our system overcomes these limitations.,OBJECTIVES
"The evaluation round held in Leipzig confirmed the strength of RoboCup-2015 champion (WrightEagle, i.e.",BACKGROUND
We use all this negative flying data in conjunction with positive data sampled from the same trajectories to learn a simple yet powerful policy for UAV navigation.,RESULTS
The model is trained from pure input-output examples using backpropagation.,METHODS
We generalize the result and show that GI can be replaced by any isomorphism problem for which the underlying group satisfies some elementary properties.,RESULTS
"Moreover, a lot of effort was devoted over the years into making single-path TCP work well over various types of links.",BACKGROUND
"Moreover, we analyze convergence properties of G-SGD considering geometric properties of PEMs.",RESULTS
"This paper shows that theoretically-efficient parallel graph algorithms can scale to the largest publicly-available graphs using a single machine with a terabyte of RAM, processing them in minutes.",RESULTS
"Based on these characterizations, we propose three necessary conditions on a calibrated trifocal tensor.",RESULTS
It is essentially a physical storage system which provides large storage of data and faster computing to users over the Internet.,METHODS
We also approach the phenomenon from a computer security perspective and demonstrate how someone being evaluated by a third party can exploit this ambiguity and greatly outperform a random predictor without even access to the input data.,RESULTS
"That framework involves a substantial amount of category theory and is, as a result, considered rather difficult to understand.",BACKGROUND
"Online recommender systems often deal with continuous, potentially fast and unbounded flows of data.",BACKGROUND
"Experimental evaluation using many clusters of questions, each related to an objective, shows 80% recognition accuracy and negligible false positive across these clusters of questions.",RESULTS
The content library contains files with different popularities.,METHODS
Suggestions have been made about the use of the theory of dynamic systems to hybrid cloud database.,METHODS
"Results show that the former is simpler to implement and offers more features, at the cost of an effectively negligible computational overhead.",RESULTS
"Finally, we provide an analysis of our results that shows how increasing noise decreases the effective batch size.",RESULTS/CONCLUSIONS
"Furthermore, the authors have introduced some example models of intelligent content marketing, which can be achieved by using current Web technologies and artificial intelligence techniques.",CONCLUSIONS
We introduce and study A-infinity persistence of a given homology filtration of topological spaces.,OBJECTIVES
"We formulate two estimation problems for pipeline systems in which measurements of compressible gas flow through a network of pipes is affected by time-varying injections, withdrawals, and compression.",OBJECTIVES
Experimental evaluations indicate that the method outperforms in comparison to the current state-of-the-art.,CONCLUSIONS
"We also present an enhanced version of the modularity-driven ensemble-based multilayer community detection method, in which community memberships of nodes are reconsidered to optimize the multilayer modularity of the consensus solution.",METHODS
"In order to characterize a laser pulse and overcome the ill-posedness, it is common to use a technique called Frequency-Resolved Optical Gating (FROG).",BACKGROUND
"We consider a mechanism design problem for energy procurement, when there is one buyer and one seller, and the buyer is the mechanism designer.",BACKGROUND
"In this paper, we analyze the requirements for RL to succeed in the datacenter context.",OBJECTIVES
"When multiple radio-frequency sources are connected to multiple loads through a passive multiport matching network, perfect power transfer to the loads across all frequencies is generally impossible.",BACKGROUND
Case-Based Reasoning (CBR) has been widely used to generate good software effort estimates.,BACKGROUND
The resultant optimization problem is solved efficiently using the Alternating Direction Method of Multipliers (ADMM).,METHODS
AFEL-REC is build upon a scalable software architecture to provide recommendations of learning resources in near real-time.,METHODS
We characterize the extreme rays of the polar in terms of certain minimal set covers which may be thought of as weighted generalizations of minimal transversals in hypergraphs.,RESULTS
"Thus, it is essential to investigate the impact of interference caused to the PUs so that its detrimental effect on the performance of the PU system performance is reduced.",OBJECTIVES
"Through a case study of 230,090 patches spread across the Android, LibreOffice, OpenStack and Qt systems, we find that (1) 16%-66% of patches have at least one invited reviewer who did not respond to the review invitation; (2) human factors play an important role in predicting whether or not an invited reviewer will participate in a review; (3) a review participation rate of an invited reviewers and code authoring experience of an invited reviewer are highly associated with the participation decision of an invited reviewer.",RESULTS
The deviant probability framework has been the result of such an approach.,BACKGROUND/RESULTS
We use several standard benchmark problems and compare the results to state-of-the-art multivariate EDAs.,METHODS
"To show the effectiveness of our algorithms, we perform experiments on three languages---English, Chinese and Czech, using maximum conditional likelihood estimation for model training and L-BFGS for parameter estimation.",RESULTS
"We propose a simple way to significantly accelerate these schemes, based on a careful analysis of the computational cost needed at each iteration, while preserving their convergence properties.",OBJECTIVES/METHODS
Our optimizations together produce about a 77% throughput increase and a 60% reduction in necessary tree size; these numbers vary with file size distribution.,RESULTS
"We consider secret key generation for a ""pairwise independent network"" model in which every pair of terminals observes correlated sources that are independent of sources observed by all other pairs of terminals.",BACKGROUND
The behaviour of the algorithm under inexact knowledge of the probability of detection is also analysed.,OBJECTIVES
"The results highlight the existence of clusters of TUs showing a general high performance in the Industry Income category and, in many cases, a low performance on Research and Teaching.",RESULTS
We derive an upper and a heuristic lower bound on expected revenue in our setting.,RESULTS
"In contrast with some alternatives, the presented formulation can also be easily extended to accommodate complex performance indicators (``soft constraints'') imposed in a number of real-life course timetabling applications.",CONCLUSIONS
EEG is the most common signal source for noninvasive BCI applications.,BACKGROUND
Symbol synchronization among chemical sensors and nanomachines is one of the critical challenges to manage complex tasks in the nanonetworks with molecular communication (MC).,BACKGROUND
"I thus review some recent works that focus on designing better communication channels/methods at the first, then deal with another interesting research method, Interactive/Active learning, after that I finally present other recent approaches tackle a more challenging problem, learning of complex tasks, in the last of the paper.",OBJECTIVES/METHODS
"Moreover, the coefficients are specific for a given interaction network modeled as regular graph, which is why we may call them specific structure coefficients.",METHODS
"In order to discover strategies that could be used to attract clicks, we extracted features from the text of the news headlines related to the sentiment polarity of the headline.",RESULTS
"In TCNs, different modalities of input are compressed into latent representations, which we encourage to become indistinguishable during iterative adversarial training.",METHODS
"Also, we have modified the loss function to enhance the word alignment of the model.",RESULTS
"In this paper, first we proposed a novel approach, to precisely define clusters based on maximal frequent item set (MFI) by Apriori algorithm.",METHODS
"We also show that our implementation generates more efficient machine code than TraceMonkey, a tracing JIT compiler for JavaScript, on several benchmarks.",RESULTS
"In this paper, we introduce a novel knowledge-distillation approach called Interpretable Mimic Learning, to learn interpretable phenotype features for making robust prediction while mimicking the performance of deep learning models.",OBJECTIVES/METHODS
Its capacity to provide good performances without hyperparameter tuning compared to standard classification methods is studied.,RESULTS/CONCLUSIONS
"By introducing weights associated with conditioned probability distributions, BNNs are capable of resolving the overfitting issue commonly seen in conventional neural networks and allow for small-data training, through the variational inference process.",BACKGROUND
"Network Functions Virtualization (NFV) and Network Coding (NC) have attracted much attention in recent years as key concepts for providing 5G networks with flexibility and differentiated reliability, respectively.",CONCLUSIONS
"Compared to previous spatio-temporal scale-space formulations in terms of non-enhancement of local extrema or scale invariance, these receptive fields are based on different scale-space axiomatics over time by ensuring non-creation of new local extrema or zero-crossings with increasing temporal scale.",BACKGROUND/METHODS
The GPRAMA method can achieve better quality than the GPRFS-ED method but with lower computational cost.,CONCLUSIONS
Vector-space word representations obtained from neural network models have been shown to enable semantic operations based on vector arithmetic.,BACKGROUND
"First, we generalize a technique for systematically lifting functors from the category Set of sets to the category PMet of pseudometric spaces, showing under which conditions also natural transformations, monads and distributive laws can be lifted.",METHODS/RESULTS
Codebook designing is the most essential part in Vector Quantization.,BACKGROUND
Proposed classifier gives reliable estimations of pixel disparities already without any form of regularization.,RESULTS
"We quantify the dependence of the speedup obtained by SparkNet on the number of machines, the communication frequency, and the cluster's communication overhead, and we benchmark our system's performance on the ImageNet dataset.",RESULTS
The use of crowdsourcing image and videos on crisis management systems can aid in these situations by providing more information than verbal/textual descriptions.,BACKGROUND
"Second, it does not require any modification to the widely used Hadoop framework.",OBJECTIVES
"By positive speech we understand speech that works for the betterment of a given situation, in this case relations between different communities in a conflict-prone country.",OTHERS
"In detail, the study has enabled readers to improve their awareness about the intersection point of content marketing and artificial intelligence.",CONCLUSIONS
"However, the delay in terms of logic gates can be worse by a factor of two.",BACKGROUND
"Determining semantic similarity between academic documents is crucial to many tasks such as plagiarism detection, automatic technical survey and semantic search.",BACKGROUND
"Concretely, we target a recently proposed set of pathways for pattern formation involving Notch-Delta signaling mechanisms.",METHODS
We leverage recent advances in Bayesian Convolutional Neural Networks to train and implement a sun detection model that infers a three-dimensional sun direction vector from a single RGB image.,METHODS
In this research study we have also shown the comparison of various efficient sorting techniques with List sort.,BACKGROUND/OBJECTIVES
(A typable term almost always starts with an abstraction.),OTHERS
In this paper we prove that the cross entropy and the Kullback-Leibler divergence can be obtained in a similar way.,RESULTS/CONCLUSIONS
This reveals that there are indeed visual differences between the 3 speech modes and the common assumption that vocalized training data can be used directly to train a silent speech recognition system may not be true.,CONCLUSIONS
"In order to uncover the differences in English scientific writing between native English-speaking scholars (NESs) and NNESs, we collected a large-scale data set containing more than 150,000 full-text articles published in PLoS between 2006 and 2015.",OBJECTIVES
Hashing determinantal predicates accelerates execution up to 100 times.,METHODS
"We define a natural partial order on the set of codes, and show how to construct effectively a code better than a given sequence of codes, in a certain precise sense.",RESULTS
"Thus a hybrid time-domain and frequency-domain analysis scheme has been proposed to investigate effects of various parameters like depth of microscopy, laser focal spot size and contrast agent concentration on Photoacoustic signals.",METHODS/RESULTS/CONCLUSIONS
Our solution has low good efficiency as it requires no expensive distributed randomness generation and it provides block creation fairness which is crucial in deployments that reward it with new stake.,RESULTS
"One type is designed to be deceptive, exemplified here by Lunacek's function.",METHODS/RESULTS
Software analytics has been widely used in software engineering for many tasks such as generating effort estimates for software projects.,BACKGROUND
"On the contrary, F1 measure, G-means of recall and precision, MCC and Kappa coefficient measures do not produce such behaviors so that they are unsuitable to serve our goal in dealing with the problems properly.",CONCLUSIONS
As an alternative we have pioneered the use of virtual worlds for collecting such annotations automatically and with high precision.,METHODS
"In this paper, we propose a new architecture based on combining variational autoencoders with encoder-decoders and introducing an interlingual loss as an additional training objective.",METHODS
"In this paper, we examine the problem of robotic manipulation of granular media.",OBJECTIVES
"When the stimulus is deterministic or non-stationary the direct estimate of information no longer estimates mutual information, which is no longer meaningful, but it remains a measure of variability of the response distribution across time.",CONCLUSIONS
"Furthermore, we have no established methods to interactively leverage users' domain expertise and prior knowledge as inputs for steering the model.",BACKGROUND
"Event localization is fundamental in many wireless sensor network applications such as homeland security, law enforcement, and environmental studies.",BACKGROUND
We extended a widely used tool for clone detection with normalization support.,METHODS
"In every time period, a server has a certain amount of resources that any client could consume, and randomly gets matched with a client.",METHODS
"On a multi-day BP dataset, the deep RNN achieved RMSE of  [NUM] ,  [NUM] ,  [NUM]  and  [NUM]  mmHg for the 1st day, 2nd day, 4th day and 6th month after the 1st day SBP prediction, and  [NUM] ,  [NUM] ,  [NUM] ,  [NUM]  mmHg for corresponding DBP prediction, respectively, which outperforms all previous models with notable improvement.",RESULTS
"As a result, we are able to use the integrated side-output features of pre-trained convolutional networks alone, which significantly reduces the model parameters leading to a model size of 67 MB, about half of Amulet.",CONCLUSIONS
"We present ABA+, a new approach to handling preferences in a well known structured argumentation formalism, Assumption-Based Argumentation (ABA).",OBJECTIVES
"Among the many forms of tampering possible, one widespread technique is Copy Move Forgery CMF.",RESULTS
This paper presents a technique targeted at answering these questions by analyzing information that is readily available about software systems.,OBJECTIVES/METHODS
We explore the impact of two related factors impacting CNN performance: different word embedding initializations and different input review lengths.,METHODS
This model is based on the assumption that the co-supports of corresponding bimodal image structures are aligned when computed by a suitable pair of analysis operators.,METHODS
Spatial analysis suggests that cross-border movement has intensified following the establishment of military bases by AQIM in Mali but reveals no evidence of a border sanctuary.,RESULTS
Recently the influence maximization problem has received much attention for its applications on viral marketing and product promotions.,BACKGROUND
Large-scale distributed training of deep neural networks suffer from the generalization gap caused by the increase in the effective mini-batch size.,BACKGROUND/OBJECTIVES
"The aforementioned requires the symbolic process of the transcompilation of a high-level programming language into shader programming language for GPU and, in this article, we address the challenge of the automatic translation of a high-level programming language to a shader language of the GPU.",METHODS
We use attention models to connect information from both the user instructions and a topological representation of the environment.,METHODS
"In this work, I present an optimization problem which consists of assigning entries of a stellar catalog to multiple entries of another stellar catalog such that the probability of such assignment is maximum.",OBJECTIVES
Numerical examples complement the theoretical part.,RESULTS/CONCLUSIONS
"More generally, we are interested in building a community that can drive forward the development of modern DSLs.",OBJECTIVES
"HMM-based Speech Synthesis is of great interest to many researchers, due to its ability to produce sophisticated features with small footprint.",BACKGROUND
"Specifically, a predictive model based on phone usage metadata significantly outperforms a comparable personality features-based model in predicting individual privacy attitudes.",METHODS/RESULTS
The algorithm has been implemented and deployed in a consumer grade Android-based mobile device to evaluate the performance.,OTHERS
"In this paper, we discuss the deficiencies of existing metrics for a seizure detection task and propose several new metrics that offer a more balanced view of performance.",OBJECTIVES
"Second, it automatically adjusts the mutation of inputs so that the mutated inputs are more likely to exercise these same rare parts of the program.",METHODS
Our approach is output-sensitive as it makes one oracle call per vertex and facet.,RESULTS
"We show, that Deep SNP is capable of successfully predicting the presence or absence of a breakpoint in large genomic windows and outperforms state-of-the-art neural network models.",RESULTS/CONCLUSIONS
The testbench is not limited to the default functions and users can add or remove additional methods using a simple two-step process.,METHODS
Particularly we show that emotion recognition benefits from jointly learning a model with a detector of facial Action Units (collective muscle movements).,METHODS
"For the former, we first characterize the properties of the underlying cooperative game.",METHODS
"First, we demonstrate that existing methods proposed for this problem present an issue that may lead to ill-posed optimization.",METHODS
"In query learning, the goal is to identify an unknown object while minimizing the number of ""yes or no"" questions (queries) posed about that object.",BACKGROUND
"Motivated by the potential cryptographic application of building a directed transitive signature scheme, the search for a group with infeasible inversion was initiated in the theses of Hohenberger and Molnar in 2003.",BACKGROUND
"In this study, we investigate several one-class classifiers, such as Presence and Background Learning (PBL), Positive Unlabeled Learning (PUL), OCSVM, BSVM and MAXENT, to extract urban impervious surface area using high spatial resolution imagery of GF-1, China's new generation of high spatial remote sensing satellite, and evaluate the classification accuracy based on artificial interpretation results.",METHODS
The novelty of our result lies in the converse using a genie-aided bound and the duality upper bound.,METHODS
"The results illustrate that both scenarios present high performance in accomplishing the above tasks, while DESSs, with the same aggregated size, are slightly better.",RESULTS
Evaluation results show that there are many fewer EFG-based equivalence classes compared to the corresponding number of paths in a CFG.,RESULTS
We propose fault detection schemes that explicitly introduce the error probabilities into the optimal event detection process.,BACKGROUND
The present work lies in the whole topic of 3D image processing with the special spherical harmonics bases.,METHODS
"As humans, we regularly interpret images based on the relations between image regions.",BACKGROUND
"Unlike prior work that uses proxy losses to maintain accuracy on older tasks, we always optimize for the task at hand.",METHODS
Our approach exceeds the current state-of-art for both BLEU and METEOR metrics on the Youtube2Text dataset.,RESULTS/CONCLUSIONS
"To address this, we propose a bootstrapped version of graph convolutional neural networks (G-CNNs) that utilizes an ensemble of weakly trained G-CNNs, and reduce the sensitivity of models on the choice of graph construction.",METHODS
"This paper presents an overview of our visual discovery engine powering these services, and shares the rationales behind our technical and product decisions such as the use of object detection and interactive user interfaces.",OBJECTIVES
"Our approach thus leverages the dual benefits of low dimensionality: (1) more efficient algorithms, e.g., for proximity search, and (2) more optimistic generalization bounds.",RESULTS
"This kind of study is important, however, because the urban grid data describes the individual behaviors and detailed problems in community, and reveals the dynamics of changing policies and social relations.",OBJECTIVES
The framework builds on a synergy between persistent homology and the theory of group actions.,BACKGROUND
It is well-known that the spacetime diagrams of some cellular automata have a fractal structure: for instance Pascal's triangle modulo 2 generates a Sierpinski triangle.,BACKGROUND
"The proposed normalization module is easily incorporated into existing network architectures such as Residual Networks, and surprisingly improves the recognition performance in various scenarios.",RESULTS
This paper studies change point detection on networks with community structures.,OBJECTIVES
We further generalise exception handlers to arbitrary algebraic effects.,RESULTS
The HPC parallel implementation overcomes the limits due to the great amount of data and the complexity of data processing.,RESULTS
"Through a primal-dual analysis and an augmentation of variables, we reformulate the problem as finding the zeros of a sum of monotone operators.",METHODS
"Disasters lead to devastating structural damage not only to buildings and transport infrastructure, but also to other critical infrastructure, such as the power grid and communication backbones.",BACKGROUND
"We present DataSite, a proactive visual analytics system where the burden of selecting and executing appropriate computations is shared by an automatic server-side computation engine.",OBJECTIVES
We propose concept-oriented deep learning (CODL) which extends (machine) deep learning with concept representations and conceptual understanding capability.,OBJECTIVES
Machine translation (MT) was developed as one of the hottest research topics in the natural language processing (NLP) literature.,BACKGROUND
In general the achieved consensus value will be different to the one obtained by the corresponding DeGroot model,OTHERS
Our findings show that the number of colours can be reduced significantly without impacting the reconstruction quality.,RESULTS
"First, aligning with prominent voices in the field, we emphasise the importance of data structures able to accommodate the operational complexity of tensor arithmetic.",OBJECTIVES
"In this paper, we propose a harmony search based algorithm to solve the bi objective dynamic resource allocation decision model.",METHODS
The Havel-Hakimi algorithm for constructing realizations of degree sequences for undirected graphs has been used extensively in the literature.,BACKGROUND
